gid	gname	tid	strand	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NA	2200002D01Rik	NM_028179	-	0.032723575320246	0.00112413380737084	0.0327235753156862	6.9961884879595e-17	0	0	2.42041412659738e-08	0.0327284235273914	0.134464925251174	0.0327235753284839	5.59414513458648e-45	6.03752479102789e-188	1.12588589146133e-139	0.0654471006529406	9.3404952697045e-82	8.23512701085411e-20	7.56721478272488e-163	1.18720677936982e-78	0	0.0660473800679099	0.032723575320246	0.0327235737471833	6.05509725383341e-05	4.61803556760732e-14	7.72494710811682e-22	0	0	0.0327235753549064	0.0327235753202904	0.0326902851424429	1.20653047494339e-09	0	0	0.0327235752203451	0.0327235753202428	0.0327190332923636	0.0329580151454076	0.0327235753202791	0.03272357531278	0.0137880585156289	9.18372671812576e-12	7.01340736899676e-11	0.100799774262815	0.0981707259662114	0.0981707259666521	0.101541571232005	4.50195778591606e-11	1.65130118729518e-19	1.86592382664035e-28	1.19258655707077e-37	0	1.49606008190394e-33	2.34073924140662e-24	2.0715022946255e-15	5.64755597317947e-07	0.0327236051766283	0.0327235753202461	0.0327236439826387	1.57341433556572e-05	0.0654470886882864	0.0654471506404918	0.0654471294159958	0.0327274888089537	0.0327235753202453	0.0327235520738576	4.54157750773997e-06	6.89665197527617e-11	0.0325488275744092	0.0327235753212171	0.0327235753227018	0.0350838433226704	0	2.27090220526339e-20	1.25570550739316e-26	1.40358769918425e-17	7.9999935243317e-09	0.0327256830168302	0.0327282712645751	0.0654471268760556	0.0389953789518644	0.065447150640492	2.30085987098466e-52	0.0654471506403714	0	1.95853709416868e-08	0	2.88523049515036e-14	0	0.098170706081499	0.130894118308444	0.0970523917542674	0.16361787666881	0.0981707366131592	0.0327235753202588	0.425414716157097	0.189756390600518	0.0982774465707157	0.0981710955000164	0.0327234037168317	3.83962995000694e-122	0
NA	9930111J21Rik1	NM_001114679	-	0	0	0	0	0	0	0	0	0	0	3.08180318187263e-208	2.78933081372241e-65	8.79775537089263e-54	9.04005717653757e-197	0	0	0	1.88936118811267e-179	1.16861836430524e-36	8.09797364858882e-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2774513568532e-185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0327235753202462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56470272671123e-203	7.15286588670819e-61	0
NA	Acvrl1	NM_001277259	+	0.065447150640492	0.09815163320026	7.17643374799465e-121	1.56285201209722e-199	1.82465138871407e-56	0	0	3.45845952088873e-317	3.42260597521877e-174	3.2473322061091e-31	0	1.79410961395128e-33	3.66769748723764e-30	0.130231414072003	0.0654471506822701	0.0344777535675602	0.032723575320251	0.0327235753202466	5.90786324768076e-40	0	0	0	2.02694444192515e-56	5.91594382124933e-53	0.0981710293924011	0.0654471506404617	0.0327417256043154	0.098170730890473	0	0.0654453910233405	0	0.0327235753202469	0.0655087483972881	0.032723557331147	0.0976673254736322	0	0	0.0327235106467561	0	0.0654471506405173	0.0327235753204227	8.77520693078076e-25	2.70263582542333e-54	1.25097770346932e-26	0	0.0654471480540818	0.032723575320246	0.0830690247679573	0	0	0	0	0	0	0.032723566578051	7.72605925192001e-25	0.0655149077930494	0.0654471506404851	0.0655101271876094	0.00240996602140433	0	0	5.36035453043473e-13	0.0987570072953484	0.0327235753387247	1.16706493094181e-26	0.0889568135604702	0.032723575322158	0	0.0654471639118815	0.0327235741137155	0	0.362141099866026	0.0654341794371181	0	2.09221024998003e-21	0	0	0	0	0	0.0654471758318198	0.0649501881006748	0	0.0327235753337718	5.52983973428433e-53	0.0327235753201998	0.000662881825564313	0	0	0	0.0654482639889338	0	6.31617989596541e-37	0.032723575341135	3.15149300449845e-07	4.93020737793818e-53	4.22282555907083e-196	1.10509030212788e-71	1.24338450397218e-48	0.032723575320246
NA	Adam12	NM_007400	-	0	0	0.0967797088747023	0.0327236018708689	2.14378240748552e-12	0.0327235752558653	0	0.0327233886353273	0.0327197188453899	1.67392705840349e-33	3.84193555509425e-86	2.25146182547077e-10	0	0	0	8.23513568285608e-20	0	9.12530765586489e-38	7.17038168945664e-06	0.065286319650142	0	0.196341376304835	3.71016911746109e-152	0	1.45452361461081e-60	0.0327190354235594	0	0.0654226423352046	0	0.032718789035881	0.065447150640492	0	8.52487076193663e-99	0.0654471506405046	0.0327235753166218	0	1.36394513431213e-07	0.0654382305644088	6.62250719251981e-49	4.65637966338248e-100	0	0	0.0327379678803468	3.37512805395266e-15	0.0981707259875295	0	2.20264343450167e-19	0.0654471506404816	3.62588555002761e-42	4.01860767050703e-13	0.032723575320246	0.163454420451276	1.24847512914309e-73	1.71604069097044e-07	0.0327235753207818	2.5561529945849e-19	1.34131640215452e-15	0	0.032723573892622	0	0.130894301280984	0	0	0.133304040240298	2.18617039054414e-127	4.24760446353906e-38	0.002277589908366	0.000463672361981167	3.07419476437566e-10	0.0981719882989419	0	0	2.29143541962944e-225	0.0654471507277463	0.0328223247595614	0.0327235753196239	0	0	0	0	0	2.57904133468009e-14	8.6990147853773e-18	0	0	0.0327235752558653	0.0327188793759246	0.0654471006529406	0	0.0723334602469686	0	0	0	0.0654471506404916	0.032720641414361	0.0327235753214845	0.0327235757073638	0.137958256134624	0	0.0654471488293495	0
NA	Adamts12	NM_175501	+	0	1.46938437152952e-109	0	0	2.53386499438142e-73	0	0.163618011910433	0.0327363277412185	0.0327246086595693	0	0	0.430581435934685	0.032723575320246	0.163040716378654	0.0976015633416056	0.0326886751129414	0.0329315604755638	0	0	3.59214118366787e-13	0	0	0.0653133219496767	4.93970189963784e-26	0.162120190159344	4.78119748156552e-77	0	0	0	2.4108098411543e-16	5.74852287882794e-10	0.196334392907436	0	1.39058936174909e-139	0.0327235753202453	0.0654471506404929	0	0	3.27378722218622e-13	0.0981707259607301	2.32082057773872e-40	0.0657374777065621	0	0	0	0.163617872832189	0.0327232257009698	0	0	0.0646504490614523	9.87275510689295e-107	6.07448278672172e-122	0.0327236850222244	6.10833940178765e-53	7.63004899528693e-115	0	0.0654432371517841	0	0	0	0.0327235753201987	0.0689750674743007	3.31999612613528e-09	0	0.241551361458975	0.0327230912656937	0.0327235753202454	0	0	0.0654269914912389	0	6.49466441216742e-31	0	0	3.04953660728654e-55	0	0.0327235753202539	0.032723575320057	0	0.0654498201389204	0	0.0338476782202509	6.31674137150778e-08	0	0	0	0	0	0	0	0	0	0	0.0327235753546424	0	0.0981742544203417	0.0327235760233989	0.0654471474389623	0	0.0981707265690112	0.196341451921476
NA	Adcyap1r1	NM_007407	+	0	4.36219378512624e-235	7.71469720970976e-92	0.0324558388415132	0.100473187501896	0	0.0327235753178434	0.0327187266566019	2.6332869730115e-31	2.98150660302468e-174	0	0	0	0	0	1.82313853710729e-142	0.0327196618315383	1.3264149736555e-120	1.01641119629127e-111	1.35186641210707e-08	0	1.37112204662579e-27	0.012985486866133	0.0981721060823508	2.04751792369756e-88	0	0	0	1.13881649819999e-39	3.30211645398659e-23	1.23714527286563e-10	1.50543519503988e-45	1.35740118046142e-33	0.0654466891438316	1.82662810388881e-19	0.0327232601712774	0	4.68788172809074e-16	0.164254822919817	0.0981707259599783	3.45620364160384e-07	0	0	0.0326718399600101	0	1.27044626798674e-81	8.97848740681679e-166	0.0654437335422763	0	1.13898100519107e-104	0	0.0983334601169987	0.0322200876612909	0.0327235753202588	7.36942166053782e-103	0	0	0.0654471478910868	0.164549872525135	0.130894301280266	0	1.35596496339028e-32	3.37034791656763e-31	6.31267922496162e-172	5.05539230617953e-86	0	1.27365914010708e-43	1.49913993659822e-102	0	4.02406266864899e-14	0.0327235573082224	0	0.032725683016829	1.51917819707471e-32	6.54060653665503e-05	3.28078482867592e-41	0.0326630243477076	3.54636788477162e-27	0	0	0.065447150640492	0.0327235753143304	0	8.66756162923655e-72	2.60208467815535e-13	0	0.0327235753202458	2.53399648353268e-18	0.0327235753225536	0.130894008922964	0.0981244193441849	0	0	1.2646217202042e-09	0	0	0.0323404320568046	1.26136085700794e-144	9.55398518351034e-288	0	0
NA	Adm	NM_009627	+	0	0.0654463215927399	0	0.031724369184778	0.229065101775684	0.163685196008582	0	0.174253664197463	0.305073228384425	5.87005859283714e-13	8.9324594355135e-14	1.2641004664885e-10	0	3.42342877913249e-15	0	8.64625107311012e-44	3.4140360887804e-62	0	0.0651057939835339	1.01722603011879e-144	0	0	0	0	0	0	0.065447150640492	4.25147129190634e-13	2.29493978639956e-33	8.21566520751991e-54	2.23778681251081e-74	4.17412333524272e-95	0	0	0	0	0	0	0	2.67363457824674e-134	1.43336066525848e-113	5.26234728060605e-93	1.46996863176244e-72	2.72317795655458e-52	0	0	0.0327235753202546	0	0	0	0	4.40203812013396e-53	2.35997407413427e-32	8.66425558642057e-12	0.0327235753201987	3.49423972527846e-06	0	0	0	0	0	2.34249175920101e-124	0	0	0	0	0	0.0329052085641734	0.032723575320246	0.032723575320246	2.03679910524146e-08	0.130658227521683	0.299227012043521	0.264581757160677	0.098170725960738	0.0326749068392182	0.0463397679852504	0.196347210611382	0.166611449625332	0.167801383352586	0.16361787660123	0.13089401884498	0	0.0327184246362657	0.0655016585064747	5.17966834617094e-115	0	0.065447160079757	4.61155462376549e-48	0	0	1.67099109205291e-136	0.0327235753183251	1.89129977248424e-27	0	0	2.30436857398422e-87	3.18883267678516e-32	6.21194485774133e-16	1.53413742718262e-10	0.032723575320246
NA	Aebp1	NM_009636	+	0	3.42647783338148e-19	0.032724215752907	0	0	4.16845378195379e-78	1.12527077694665e-76	0.0654468092191669	0.0654471506405176	5.33723191827643e-53	0	0	0	0.0327235753445746	0.0327235188774577	0	2.62788483125675e-39	1.24091902488633e-11	0.0654471506404918	0	0	0.0327235800398785	0	1.53413742717519e-10	0	0.0327235753118719	0.0981877605406619	0.0327278019081873	0	7.33444020896107e-11	0	3.20783227847646e-75	0.0326690674541863	7.55921739051681e-44	1.62279764672043e-28	1.59997266051111e-47	0	0	1.24779303945545e-10	0.0317829595670613	0.032723575320246	0.065447151121316	0	0	5.35093796269891e-13	0.192832747509177	0.0327235583945948	0.0402664274581958	0.169014837929901	0.0327235756427656	8.3791492100358e-28	0	2.58353304801217e-187	0	0.294512128599922	8.33690899130339e-78	0	0	0	1.70343042842898e-24	0	3.48118387128747e-07	0	0	5.61846322988037e-111	0	3.25613877223345e-10	0.0654382474898912	0.13093969468732	0	6.52141189018255e-07	5.67110961156098e-13	0	0	2.31147759780607e-22	0.0327235753205787	0	0	3.9519363696563e-21	1.26462172020576e-09	0	4.13292976562183e-25	0.0327268588105517	0.130894301280985	0	0.0327235736957219	2.03713473165139e-23	2.46835817491669e-67	2.03005570975015e-51	0.0327393864360607	0.0327235753204127	0	0	6.28561230294058e-46	0.0327235753201998	0	0.098170725960753	3.14526753067283e-22	0	0.0965263833324972	0.032723575320246
NA	Akap12	NM_031185	+	0	1.41102899430907e-50	0	3.6063785508888e-19	5.29196650360313e-05	0	0.0981707108401094	0.0320606934946817	0.0979179091354903	0.130894301020165	0	1.10705430873684e-18	0.0654652994972944	2.79548995631535e-102	1.70911776467225e-17	1.09249754634695e-72	0	0.0327236018708689	0	0	0.032723575320246	0	0.0654471522923008	0	0	0.0654471426400199	0	1.12794261660712e-12	3.07707588636853e-36	1.59848780155363e-49	0.0327235751923332	0.0981717333614603	0.0327235735203368	5.14084994737627e-83	0.0654441622743357	4.54157750773989e-06	8.96401917539929e-06	0	0.0654471514053621	0	0.0327235753140266	0	0.0327235753202461	0	0	0.0327235753202459	0.0336182381388913	0.0327235752567362	0.0318487207381331	9.9422905080605e-05	0.065447150640492	6.78242619857236e-30	4.34836653755648e-40	0	0	6.23468562386183e-44	2.80141509551788e-25	5.27465851320521e-45	1.38023289043739e-51	5.50433568390655e-20	0	0	3.79249344368612e-14	0	0	0	0.0654472656063474	0.032723413843049	0.130895329328294	3.63595527975502e-22	1.14746989318354e-33	1.17933129233805e-211	0.0327230105646487	1.19393613528222e-42	0	6.54487942161739e-105	0.0327060760070195	0.0327216540285481	4.43486103654481e-14	0.032723575313437	0	0.0327235820795783	1.20508483280948e-13	3.15461226605742e-83	9.09616607572757e-75	3.10386448638257e-45	0	8.65135076386106e-44	0.0327235996268483	2.45148150500652e-08	4.52809161448351e-24	4.88697821039257e-167	0	0.0317829595670613	1.04971598375476e-33	3.71325511392422e-86	0.0327235753202563	0	0.0981707259606002	0.0654476328683168	0.032723575320246
NA	Aldh1a2	NM_009022	+	0	0.0981707259583656	2.05364070366542e-126	1.61602913848408e-183	1.88673642092348e-40	1.49640758145059e-79	6.09907321447023e-55	0	1.8593482173348e-40	0.035790850285545	0.0327235753202419	0	0.000748136242813495	0.294334559323131	0	1.60164767656053e-09	0	0	0.0327235753202459	1.21379389486172e-122	0.032723575320246	5.64912235314336e-67	0	0.0327235753217457	2.15652600559825e-80	0.0318425326945598	0	1.06781306082806e-17	0	4.17128317201298e-49	0	0	1.40074476697099e-25	3.84180177927619e-102	0	0.0623951294578474	0	0	0	0.130925543729847	0	3.09674831010444e-34	3.55248817324247e-179	2.10644965694272e-07	1.33227937390639e-12	0	0.0654471506444347	2.99608286924327e-49	0	0	0	0.0326902851424433	0	2.07150229459502e-15	0.327837976921223	0.0327235753202013	0	0	0.0327196618315383	0.0327235753202462	0.032723575320246	1.94362935137e-261	4.88180339011168e-27	0	0	3.26070594506388e-07	0	3.14393570807158e-57	4.96900819017862e-229	0	0	0.130931818898242	0.0654471304673345	0.0327235753203557	7.04258481564114e-36	4.52809161288497e-24	0	1.58900870213724e-85	0	0.198352259734729	0	2.67594640987182e-92	0.0327235749946321	2.08315969986286e-124	0	0.0327235753514984	0	0	0	0.163617882227716	0.130894301378002	0.0327235534816466	0.0362446368690541	1.26323597918984e-36	0	0	0	0	0	0	0
