gid	gname	tid	strand	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NA	2310002L09Rik	NM_027104	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132551579464738	0	0	0.0441838598215794	0	0	0.0441838598215794	0.0441838598215794	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0	0.0441838598215794	0	0	0	0	0	0.0441838598215794	0	0	0.0441838598215794	0	0.0441838598215794	0	0	0	0	0	0	0	0.0441838598215794	0.0441838598215794	0.0441838598215794	0	0	0	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0	0	0.132551579464738	0.0441838598215794	0	0	0	0.132551579464738	0	0	0	0	0	0	0	0.0883677196431588	0.0441838598215794	0	0.0883677196431588	0	0
NA	Adm2	NM_182928	+	0.0441838598215794	0	0	0.0441838598215794	0.0441838598215794	0	0	0	0	0	0	0.0441838598215794	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0	0	0.0441838598215794	0	0	0.0883677196431588	0.0441838598215794	0	0	0	0	0.0441838598215794	0	0.0883677196431588	0.0441838598215794	0	0	0	0	0	0	0	0.0883677196431588	0	0	0	0	0	0	0	0.0441838598215794	0.0441838598215794	0	0	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0.176735439286318	0	0.176735439286318	0.0441838598215794	0	0.0883677196431588	0	0	0.176735439286318	0.0883677196431588	0	0	0.0883677196431588	0	0	0	0	0.0441838598215794	0	0.0441838598215794	0	0	0	0	0.0883677196431588	0	0	0.0441838598215794	0	0	0
NA	Amigo2	NM_001164602	-	0	0	0	0	0.0441838598215794	0.0441838598215794	0.0441838598215794	0	0	0	0.0441838598215794	0.0441838598215794	0.0441838598215794	0	0	0	0	0.0441838598215794	0	0.132551579464738	0.0441838598215794	0.0883677196431588	0.0883677196431588	0	0	0	0	0	0	0.0441838598215794	0	0	0.0441838598215794	0.132551579464738	0.0441838598215794	0	0	0	0	0	0	0	0	0	0.0441838598215794	0.0441838598215794	0	0	0	0	0	0	0	0	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0.0883677196431588	0.0441838598215794	0	0	0	0.0883677196431588	0	0	0.176735439286318	0	0	0	0	0	0	0	0	0	0	0	0.0441838598215794	0	0	0.0441838598215794	0	0.0441838598215794	0.0883677196431588	0	0	0	0	0	0.220919299107897	0.0441838598215794	0	0.0883677196431588
NA	Ampd1	NM_001033303	+	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0.0441838598215794	0	0	0.0883677196431588	0	0.0883677196431588	0	0	0	0	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0883677196431588	0	0	0	0.0441838598215794	0.176735439286318	0.0441838598215794	0.132551579464738	0.397654738394215	0	0.0441838598215794	0.132551579464738	0.0441838598215794	0	0	0	0.0441838598215794	0.0441838598215794	0	0	0	0	0.0883677196431588	0	0	0	0	0.0883677196431588	0	0	0	0	0.0883677196431588	0.0441838598215794	0.0883677196431588	0.176735439286318	0.0441838598215794	0	0.0441838598215794	0	0	0	0	0	0	0	0	0	0	0.0883677196431588	0	0	0	0	0.0441838598215794	0.0883677196431588	0.0441838598215794	0	0	0	0	0
NA	Arhgef10l	NM_001112722	-	0.0441838598215794	0.0441838598215794	0	0.0441838598215794	0	0	0	0.0883677196431588	0	0.132551579464738	0	0.0441838598215794	0.0441838598215794	0	0.0441838598215794	0.220919299107897	0.176735439286318	0	0.0883677196431588	0.0441838598215794	0.0883677196431588	0.0883677196431588	0.265103158929476	0	0.0883677196431588	0	0.0441838598215794	0	0	0.0883677196431588	0.0883677196431588	0	0	0	0.0441838598215794	0.132551579464738	0.220919299107897	0.0441838598215794	0	0.0883677196431588	0	0.176735439286318	0.0883677196431588	0.0883677196431588	0.0883677196431588	0	0	0.0883677196431588	0	0	0.132551579464738	0.0441838598215794	0	0	0.0441838598215794	0.176735439286318	0	0.0883677196431588	0	0	0	0	0	0	0	0	0.0441838598215794	0	0	0	0.0441838598215794	0.0883677196431588	0.0883677196431588	0	0	0	0	0	0	0	0	0	0	0	0.220919299107897	0.220919299107897	0	0	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0.132551579464738	0.0883677196431588
NA	Atp2a1	NM_007504	-	0.0883677196431588	0	0.132551579464738	0	0	0	0.0883677196431588	0	0	0	0	0	0	0.132551579464738	0.0441838598215794	0.0441838598215794	0	0.0441838598215794	0	0.0883677196431588	0	0	0	0	0	0	0	0.0441838598215794	0	0.0441838598215794	0	0	0	0	0.0441838598215794	0	0.0441838598215794	0.0441838598215794	0	0.0441838598215794	0	0	0.0883677196431588	0.0441838598215794	0.0441838598215794	0	0	0.0441838598215794	0	0	0.0441838598215794	0.0441838598215794	0	0	0	0.0883677196431588	0.0441838598215794	0.176735439286318	0	0	0	0	0.0441838598215794	0.132551579464738	0.220919299107897	0.0883677196431588	0	0	0.0441838598215794	0	0	0	0.0441838598215794	0	0.0883677196431588	0.0441838598215794	0	0	0	0	0.0441838598215794	0.0441838598215794	0.0441838598215794	0.0441838598215794	0	0	0.0441838598215794	0.0883677196431588	0	0	0	0	0.0883677196431588	0	0	0	0	0	0	0	0
NA	Bend6	NM_177235	-	0.0441838598215794	0.0441838598215794	0	0.0441838598215794	0.0883677196431588	0	0.0883677196431588	0	0	0	0.0441838598215794	0	0	0.0441838598215794	0	0	0	0.0441838598215794	0	0.0883677196431588	0.0441838598215794	0.0883677196431588	0.220919299107897	0	0.309287018751056	0	0.176735439286318	0.0441838598215794	0	0	0	0.176735439286318	0	0	0	0.0441838598215794	0	0.0883677196431588	0	0	0	0	0.0441838598215794	0.0883677196431588	0	0	0	0	0	0	0	0.0441838598215794	0	0	0.0441838598215794	0	0	0	0	0.0441838598215794	0.0441838598215794	0.0441838598215794	0	0	0	0.0883677196431588	0.0441838598215794	0	0	0	0	0	0	0	0	0.0441838598215794	0	0.0441838598215794	0	0.132551579464738	0.0441838598215794	0	0	0	0	0	0.0883677196431588	0.220919299107897	0.0883677196431588	0	0.0441838598215794	0	0.0441838598215794	0	0.0441838598215794	0	0	0	0	0.0441838598215794	0.0441838598215794
NA	Capn6	NM_007603	-	0	0	0.0441838598215794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0441838598215794	0	0	0.0441838598215794	0	0	0	0	0	0.0441838598215794	0.0441838598215794	0.0441838598215794	0	0	0	0	0	0.0883677196431588	0	0	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	Ccdc173	NM_001077684	-	0	0	0	0	0.0441838598215794	0	0.0441838598215794	0	0	0	0	0	0	0.0441838598215794	0	0.0883677196431588	0	0	0	0	0	0	0	0	0	0.0441838598215794	0.0441838598215794	0	0	0	0	0	0	0.0883677196431588	0	0	0	0.0883677196431588	0	0	0.176735439286318	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0.0441838598215794	0.0441838598215794	0	0	0	0	0	0	0	0	0	0	0.0441838598215794	0.0441838598215794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0441838598215794	0	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0.0441838598215794	0	0.0883677196431588	0	0	0
NA	Cdh6	NM_007666	-	0	0	0.176735439286318	0	0	0	0.0441838598215794	0.132551579464738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0441838598215794	0.0883677196431588	0	0	0	0	0.0883677196431588	0	0	0	0	0.132551579464738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0883677196431588	0	0.0441838598215794	0.0441838598215794	0.0883677196431588	0	0	0	0	0.0441838598215794	0	0.0883677196431588	0	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0.0883677196431588	0	0	0.0441838598215794	0	0	0	0	0.0883677196431588	0	0.132551579464738	0	0	0	0.0441838598215794	0	0	0	0	0	0	0	0	0.0441838598215794	0	0	0
NA	Cdsn	NM_001008424	+	0	0.265103158929476	0	0	0	0	0.132551579464738	0	0	0	0.220919299107897	0	0	0	0.0883677196431588	0	0.0441838598215794	0	0	0	0	0	0.0883677196431588	0.0441838598215794	0.0441838598215794	0	0.0441838598215794	0.0441838598215794	0.0883677196431588	0	0.220919299107897	0	0.0441838598215794	0.0441838598215794	0	0	0	0.0883677196431588	0.0441838598215794	0	0.0441838598215794	0	0.0441838598215794	0.0441838598215794	0	0.0441838598215794	0.0441838598215794	0.0441838598215794	0	0.132551579464738	0	0.0883677196431588	0	0.0441838598215794	0	0	0.176735439286318	0	0.0883677196431588	0	0	0	0	0	0.0441838598215794	0.132551579464738	0.0441838598215794	0.0883677196431588	0.0441838598215794	0	0	0.0441838598215794	0	0	0	0	0.132551579464738	0	0	0	0.0883677196431588	0.220919299107897	0	0	0.0883677196431588	0.0441838598215794	0	0.0441838598215794	0.0441838598215794	0.0883677196431588	0	0.0441838598215794	0	0.0883677196431588	0.132551579464738	0.0441838598215794	0	0.0883677196431588	0.132551579464738	0	0.132551579464738
