gid	gname	tid	strand	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NA	2310002L09Rik	NM_027104	-	0	0	0.111999390723314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.88131291682493e-318	0	0	0.111999390723304	0	2.428210287069e-121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.54195321684979e-168	0	0.111999390723314	0.111999390723314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	Adm2	NM_182928	+	0	2.8101981297918e-89	0.223998781446629	0.111999390723314	0.112337369594191	0.111999390723314	0	0.111836500158499	0.111999390281021	0.111998222089016	4.86653333724293e-89	0.112000431780988	0.671996344339887	0.671996339622255	0.223998780450838	0.335998038036587	1.00799417477202	1.23183826728449	0.7839979270018	1.11999390723314	0.783995735063201	0.447997729066135	0.335998172169944	0.335998172169943	0.335998172169943	0.335998170086911	0.113161126446789	0.111999390723314	0.111999390723314	0.111999390723314	0.111999390723314	0.111999390723314	0.097877075520006	0.447997562893258	0.447997562893258	0.447997562893258	0.447997562893258	0.447997562891339	0.112218940739864	1.28805556957038e-08	0.336002609632567	0.335998172169943	0.335998172169943	0.335998172169943	0.335998102822447	0.335998172171227	0.223144065722677	0.223998781446629	0.223998781446629	0.223998781446629	0.223998781446629	0.223975375154596	0.335998171742923	0.223998781444335	0.335984079850059	0.335998172169943	0.33599817172765	0.223998781441904	0.223998781446629	0.223082429177692	0.111999390723314	0.111999390723314	0.111999390723315	0.224051049082978	0.223998781446629	0.223998781446629	0.223998781449155	0.223998788853374	0.223998781446629	0.223998781371116	0.335998172207762	0.335998172169943	0.335998172169943	0.345205753731695	0.223998781450811	0.111999653914794	0	7.97969949994236e-32	7.94392733302551e-34	0	0.223998781446629	0.896007064897674	0.111999390723314	0.223998781446629	0.223998781446629	0.447997562494366	0.447997540693915	0.223998781446629	0.335998172169943	0.212214273294631	0.223998759977031	0.445184535517312	0.335998172169944	0.226267554337676	0.783995757262386	0.223998781438949	0.223998781446629	0.111999390723314	0.111999390723314	0.223998781446629	0.279998476808286
NA	Amigo2	NM_001164602	-	0	0	0.3359981721117	0.223998781446629	0.335998171839588	0.223998781446629	1.5543417781611e-21	1.57530480707056e-20	0.112183230935025	0.335981895193929	0.223998781446782	0.049385108925753	0.335998104131366	0.111999390723314	0.111999390723314	0.557082504046702	0.223998783853233	0.111999390723424	0.447997562892139	0.223998781268238	0.111999390723314	0.223998781061337	0.223998781148015	0.335998172138284	0.223998781446629	0.448428618739016	0.44799218163866	0.895994786647951	0.783130506233304	1.00799483143614	1.22977020785474	1.90400930470223	2.56393483726471	2.68711145166293	2.46398658965201	2.23998781424598	1.82632254444293	1.71963134277845	1.11999096808987	1.23503294440643	1.23199329795646	0.996205442716084	1.34387934130975	1.67992892750748	2.12201963138182	2.35353789663018	1.35132275164596	1.0045707762603	1.23199329015155	1.56799147012911	1.67977397497672	1.67999086082058	1.11999382143231	1.00707344065008	0.893712582017233	0.783995735036598	1.00539610651341	0.787250168585408	1.34240571263918	1.34399268867754	1.34399268867977	1.00797941586641	1.23198205991465	1.15193727986054	2.01591477670728	2.23998769768285	2.46398678898145	1.91713376953661	1.52515954150639	1.90501748856114	1.6799919553846	1.79199025157242	1.30113679873068	0.895990377846648	0.559936970669877	0.783935641721245	0.895995126335934	0.783832848826222	0.677918977160546	1.00799553988065	1.34399268867977	0.559996953625134	1.35002705266278	1.56774511971363	0.223660802576644	0.783995889945776	0.783985693505521	0.896869440980846	0.42166219980768	0.783995733652936	0.223998781446629	0.23449680692009	0.336863405884789	0.223998797599997	0.111999390723314	0.00160872231671582	0.223998781446629	0.357197519291659	0.223998781446629	0.223998781446629	0
NA	Ampd1	NM_001033303	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96725356831995e-127	1.27648020824002e-21	0.111999390723314	3.05587636606023e-170	0	0.447997562893258	0.223998781446619	0	0.111999390723358	3.46695476845443e-95	0	0	0	9.11609183387486e-190	0.111999390723314	0.223998781446629	4.80499401734958e-103	0.111999390723314	9.49223975416223e-98	0.223998781446629	0.111999390723314	0.337721449925362	0.335998172169943	0.111999390723314	0.111999390750199	0	0.111999389700279	0.111999390312485	0	0.447997562893264	0.332152498085827	0.111999390723314	0.447998486759163	0.335997862901494	0.895995125786516	0.783995868915389	0	0.335998172169943	0.335998172169935	0.223998781446629	0.223998781446629	0.111999390723316	0.783995756424887	0.223998781446619	0.447997562893258	1.14399178234059e-22	1.45950728092087e-43	0.103277976911855	0.223998781446629	0.111999390723314	0.335998172168305	8.88287502791906e-06	0	0	1.72156299032454e-75	0	0	0	0.111999390723314	5.50034908708657e-86	0	0	0.111999390723314	0	0	0.111999390723314	0.111999390723314	0.111999390723314	1.63196674429724e-13	0.000139860857489431	1.04313358618448e-22	0.111999390723314	4.46445718866531e-128	3.38153491888929e-271	0	0
NA	Arhgef10l	NM_001112722	-	0.111999390723314	0	0.111999390723314	0.0988582521473748	0.111999390723314	2.59626462832814e-89	3.24020336194855e-232	0	0.111999390723314	0.111999390723314	0	0	1.06191991452585e-109	0.111999390723314	0.111999390794809	0	0	0	0	0	0	0	2.91563025169006e-18	0	0	0.336014649183386	0	0.111999390723314	0	0	0	0	0	0	0	0	1.5881802301967e-180	0	0	0	0	0	0	7.12563774964421e-63	0	0	0	0	0	0	0	0	0	0	0	1.88723136414745e-226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13296570702622e-170	0	0.111999390723314	9.21330343869819e-56	2.01542727638652e-198	0	0	0	0	0	0	1.18575755001899e-316	1.09380422863329e-173	9.89998925646123e-31	1.63691144532514e-13	1.68199414905607e-156	1.67895276701975e-299	2.90931268486693e-192	2.21326438507221e-49	0.111999390723314	5.68001530505221e-23	3.21170446351877e-166	0
NA	Atp2a1	NM_007504	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223998781518112	0	0.111999390723314	0	0.335998172169943	0.223998781587325	0.111999390723314	0.111999390723314	0.559994891022115	1.00799451650983	0.559996953624178	0.783995735063211	0.33603564777377	0.223998799006091	0.223998773480695	0.224072530573942	0.447997562893258	0.661060991656766	0.556767857432348	0.111999390723314	0.447997562893258	0.114913840293187	0.55999695361869	0.671996769762344	0.447841037160439	0.570136605633241	0.111999390724843	1.00680058351061e-22	0.447997562893258	0.223998781446629	0.224336760317506	0	0.447997496562557	0	0.111999390723314	0.223998787618956	0	0.447997883736014	0.111983955938008	0.111999390723314	0.336667050950562	3.97724418603598e-92	0	0.223988175466291	0.223998781446629	0	1.34351689119246e-260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.409809289658e-59	7.45902128957112e-202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	Bend6	NM_177235	-	0	0	0	0	0.111999391368098	0.111999390723314	6.63097925325938e-47	0.111999390723314	0.111999390723314	0.111999390723314	1.2298221935021e-117	0.111999390723314	0.111999070503539	0.111999390723314	0.111999390723314	0.000209248064641744	1.92276943139624e-147	1.64689216430238e-290	0	0	0	0	0.335998172253714	0	0	1.44858338110226e-39	0	0	0	2.4178840583162e-130	0	2.27917175039615e-19	0.111999390723314	0.223998758312205	0	0	0.223998781446629	0.335998172169943	1.77114301108424e-116	0	0.335998172169943	0.111999390702066	0	9.88603113256042e-87	0	0.111999390723314	0	0	0	4.25056874626214e-185	0.111999390723314	0.111391474827692	0	3.7575595162848e-170	0.11201062876531	0	0	0	0	0	0.111999390723314	0.111999390723314	0	0	0.223999729101766	0.0016237456518282	0.223998781446629	0	0.111999390723314	0.111999390723314	0.111999390723314	1.57530480707249e-20	9.61665203972668e-07	0	3.75081879489096e-64	0.22399878144664	0	0.223998781446097	0.223998781446629	1.70561567773412e-184	0.223998781446629	0.112019151297408	0	0.111999384199005	0.111999391368098	0.111999390723314	0.111999391150383	0.223998781446629	5.47956203257418e-65	0.111999390723314	0	0.101501365249863	0.457553717205113	0	0.223998781446629	8.04543862150754e-29	3.66924639723115e-12	0.111999390723314	6.80539929561608e-94	6.70647669593334e-67	0.223998781446629
NA	Capn6	NM_007603	-	0.111999390723314	0.223998783107606	0.223998781446629	0	0.22400237043003	0.111999390723314	0.111999390723314	0.111999390723314	0.111999390723314	0.223998781446629	0.447997562893258	0.112003282027493	0	0.223998781446629	0.220880839380725	0.22364891288361	8.00021359213895e-95	8.86198740769089e-20	0.223998781446629	1.94327333871327e-13	0.111999390723314	0.335998172169943	0	0.224029729863915	0.559767473836042	0.223998781446629	1.4577049697995e-44	0.111999390723314	0.223998781150147	0.111999390723314	0	0.223998781446629	0	0.224015347799438	0.111999390723314	0.112208638787956	0.111999390723314	0.111999390723314	0	7.09649855168682e-130	0.223998781446629	1.24981011342329e-93	0.111999390723314	0.223998781446629	0.111999390723314	0.223998781446629	0.111999390723314	6.89872091768413e-94	0.111999390723314	0	0.111999390723162	0.22399878144661	0	1.07672578954817e-195	0.111999390723314	3.45151775518967e-34	0	0.111999390723314	0	0.111999390723314	0	2.23958386971079e-81	7.00814467821957e-72	0.223998781446629	0.111999390717611	0.111999390723314	8.61659237878358e-92	0.223998781446629	0.111999390723314	0.447997562893258	0.22399346973196	8.25316660553748e-135	1.64759069591332e-05	8.42844992931865e-77	0.111999390723314	0	0.335936683248071	0	0.11262104689798	0.111999390723314	0.223998781446629	0.447722333601342	0.223998781446627	0.111999390723314	0	0.1120303391406	0.223998781446628	0.111999390723314	5.5663080927411e-104	3.36518048108076e-130	0.111999390723314	0.223998781446629	0.223998781446629	0.111999390723314	0	1.80269614714266e-106	0.111999390723314	0.111999390723314	0.223884842807757	0.111999390723314	0.0559996953616572
NA	Ccdc173	NM_001077684	-	0	0	0	8.42818640340127e-44	1.1956990593382e-186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27471718174693e-171	0.111999390723314	0	0	0	0	0	0	0	0	0	5.77281401881002e-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111999390723245	4.56139448124753e-291	0	0	0	0	0	0	0	0.122202210854869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335998172169943	0.223998781446629	0	0	0	0
NA	Cdh6	NM_007666	-	0.279998476808286	0.223979020872536	0.559996938094385	0.672151382617463	0.895995120921934	0.223998781446629	0.336833622228391	0.439530381051291	0.111999390723314	0.111999390723314	0.671996344339887	1.11976711429908	1.67998259249751	1.12000560224952	1.23199329795867	1.34389560829861	1.90360312687368	0.895840111881215	0.893815003547617	0.55999657346488	0.671996344339887	1.00768651250004	0.559948930274915	0.111999390723314	0.335998172169943	0.111999213786057	0.111999390723314	0	0	2.30132774064172e-130	0	0.111999390723314	0	4.03287764609493e-129	2.48389015563539e-232	0.223998492429414	0.111999390723314	0	0	1.22891994453751e-92	0	0.111999390723314	0	0.111999390747577	0	0	0	0	0	0	0	1.20694799238303e-292	8.03839849645191e-143	0	0	0.111999390723314	0	0.111999390723314	0.111999390723326	0.111999390723314	0	0	0	0.223998781446629	2.66336767722343e-59	0.223998738700115	0.44799756289525	0.111999390723314	0	0	0	0.223998781446629	0	0.111999390723314	0	0	1.15074693472538e-254	0.111999390723314	0	0.111999390723314	0	0	0	0	0	0	0	9.08684276462734e-294	8.84328695889852e-151	8.3904167635502e-08	0.111999390723325	3.00308010768772e-27	0	0.223998781446629	0	5.75790467180549e-23	0.335998172169943	0.245195945147202	0	0.447997562893258	0.223998781446629
